Iteration	#RemainLeaves	RTL	PrunedLeaf
1	360	1.000000000000	TS-1
2	359	0.999899585006	TS-206
3	358	0.999798597360	TS-195
4	357	0.999667508470	TS-142
5	356	0.999510222543	TS-235
6	355	0.999347512209	TS-163
7	354	0.999178339093	TS-73
8	353	0.999009090611	TS-63
9	352	0.998839035006	TS-183
10	351	0.998661068565	TS-178
11	350	0.998481686921	TS-153
12	349	0.998299133470	TS-43
13	348	0.998111831327	TS-141
14	347	0.997919430073	TS-130
15	346	0.997724418714	TS-101
16	345	0.997524024816	TS-185
17	344	0.997318515769	TS-253
18	343	0.997112287783	TS-241
19	342	0.996905040747	TS-271
20	341	0.996696457095	TS-46
21	340	0.996483562131	TS-122
22	339	0.996269501895	TS-49
23	338	0.996051805419	TS-169
24	337	0.995832736253	TS-232
25	336	0.995612189402	TS-191
26	335	0.995389217987	TS-51
27	334	0.995163251237	TS-126
28	333	0.994931720298	TS-269
29	332	0.994691501675	TS-264
30	331	0.994450430838	TS-259
31	330	0.994205866118	TS-86
32	329	0.993959596327	TS-2
33	328	0.993710338957	TS-236
34	327	0.993459900211	TS-93
35	326	0.993198751142	TS-100
36	325	0.992928250602	TS-44
37	324	0.992652244157	TS-179
38	323	0.992370430033	TS-268
39	322	0.992086983627	TS-157
40	321	0.991797880273	TS-285
41	320	0.991502933169	TS-166
42	319	0.991204297004	TS-293
43	318	0.990905075626	TS-198
44	317	0.990605321856	TS-180
45	316	0.990304885284	TS-282
46	315	0.990004369482	TS-58
47	314	0.989701806563	TS-288
48	313	0.989397650011	TS-132
49	312	0.989092537537	TS-251
50	311	0.988785761861	TS-239
51	310	0.988477865360	TS-167
52	309	0.988169791717	TS-283
53	308	0.987852844229	TS-255
54	307	0.987533700826	TS-177
55	306	0.987213348864	TS-155
56	305	0.986885720041	TS-173
57	304	0.986555696903	TS-45
58	303	0.986221551060	TS-192
59	302	0.985885944408	TS-159
60	301	0.985549345762	TS-76
61	300	0.985211448504	TS-136
62	299	0.984873140921	TS-176
63	298	0.984532728248	TS-152
64	297	0.984186725994	TS-47
65	296	0.983838897193	TS-294
66	295	0.983481839621	TS-114
67	294	0.983119198534	TS-222
68	293	0.982750993259	TS-143
69	292	0.982382005983	TS-276
70	291	0.982005918859	TS-181
71	290	0.981612900187	TS-270
72	289	0.981218837730	TS-252
73	288	0.980824597745	TS-80
74	287	0.980423330057	TS-112
75	286	0.980019811700	TS-213
76	285	0.979615083624	TS-212
77	284	0.979208395393	TS-290
78	283	0.978800037519	TS-233
79	282	0.978380481054	TS-61
80	281	0.977956787198	TS-75
81	280	0.977517753495	TS-161
82	279	0.977077519092	TS-170
83	278	0.976636105890	TS-99
84	277	0.976194328742	TS-432
85	276	0.975751963096	TS-60
86	275	0.975308551089	TS-297
87	274	0.974860664799	TS-189
88	273	0.974412159478	TS-289
89	272	0.973963512895	TS-42
90	271	0.973512141096	TS-174
91	270	0.973058603656	TS-275
92	269	0.972603478381	TS-81
93	268	0.972145415255	TS-246
94	267	0.971678497481	TS-110
95	266	0.971204247963	TS-82
96	265	0.970728373893	TS-257
97	264	0.970252294338	TS-187
98	263	0.969774144477	TS-193
99	262	0.969292793178	TS-194
100	261	0.968809744602	TS-5
101	260	0.968322947639	TS-162
102	259	0.967835072364	TS-28
103	258	0.967341594445	TS-95
104	257	0.966846877627	TS-70
105	256	0.966351961057	TS-197
106	255	0.965841101779	TS-72
107	254	0.965328683007	TS-140
108	253	0.964815203316	TS-9
109	252	0.964291488687	TS-27
110	251	0.963759391058	TS-1_TS-1
111	250	0.963221921841	TS-226
112	249	0.962680478784	TS-6
113	248	0.962130601902	TS-218
114	247	0.961577100375	TS-115
115	246	0.961016519613	TS-120
116	245	0.960453437606	TS-29
117	244	0.959883177551	TS-200
118	243	0.959309120474	TS-55
119	242	0.958724893519	TS-117
120	241	0.958134469817	TS-91
121	240	0.957535052523	TS-230
122	239	0.956930317042	TS-286
123	238	0.956323483556	TS-69
124	237	0.955712572118	TS-160
125	236	0.955097896720	TS-302
126	235	0.954480941666	TS-278
127	234	0.953856251630	TS-219
128	233	0.953228997867	TS-78
129	232	0.952599050839	TS-225
130	231	0.951962611462	TS-281
131	230	0.951325513117	TS-165
132	229	0.950686666671	TS-88
133	228	0.950047298597	TS-172
134	227	0.949395512932	TS-320
